city,date,avg_temperature_c,humidity_pct,air_quality_index,avg_commute_time_min,traffic_congestion_pct,noise_level_db,is_workday,public_events_count,micro_stress_index
New York,2023-01-01,25.2,80.2,49,34.1,88.7,61.8,0,0,46.89
New York,2023-01-02,15.4,59.7,42,28.6,25.8,62.8,1,2,41.61
New York,2023-01-03,12.7,50.9,83,34.2,66.0,50.9,1,1,50.47
New York,2023-01-04,10.8,68.8,41,33.7,56.0,67.3,1,0,50.87
New York,2023-01-05,15.7,64.9,49,39.1,46.0,63.5,1,2,49.41
New York,2023-01-06,25.9,66.7,51,33.6,42.8,54.4,1,2,44.98
New York,2023-01-07,11.0,66.3,65,43.1,78.4,61.8,0,1,50.72
New York,2023-01-08,7.9,76.0,50,32.7,82.7,53.5,0,3,50.32
New York,2023-01-09,27.8,73.0,83,38.7,100.0,53.4,1,1,59.81
New York,2023-01-10,8.6,75.4,72,36.2,57.0,50.5,1,2,53.51
New York,2023-01-11,13.5,60.0,72,38.6,57.1,60.6,1,4,54.16
New York,2023-01-12,17.9,61.3,79,33.7,25.2,59.7,1,1,42.49
New York,2023-01-13,23.6,63.3,58,19.8,50.9,65.0,1,3,44.55
New York,2023-01-14,11.4,55.1,56,32.5,55.1,58.0,0,3,42.34
New York,2023-01-15,22.7,64.9,69,26.8,53.4,61.9,0,5,40.45
New York,2023-01-16,16.1,74.2,88,43.0,65.1,56.2,1,2,55.76
New York,2023-01-17,12.6,80.5,38,33.4,77.2,51.8,1,3,55.08
New York,2023-01-18,22.1,72.8,29,25.4,72.8,59.5,1,3,48.41
New York,2023-01-19,22.3,57.9,91,39.8,47.1,61.3,1,2,48.45
New York,2023-01-20,26.2,77.7,62,43.5,52.0,58.7,1,1,51.24
New York,2023-01-21,27.0,62.6,78,40.3,100.0,58.5,0,3,53.2
New York,2023-01-22,20.3,63.6,51,41.9,58.2,61.9,0,3,43.31
New York,2023-01-23,25.7,65.9,66,50.1,68.5,54.0,1,2,55.19
New York,2023-01-24,22.9,70.6,75,44.4,44.3,53.3,1,5,50.97
New York,2023-01-25,24.6,76.4,73,41.2,60.3,61.8,1,1,52.56
New York,2023-01-26,16.1,65.8,100,21.1,75.3,49.9,1,0,48.67
New York,2023-01-27,12.9,61.7,85,37.0,73.2,51.6,1,0,53.13
New York,2023-01-28,20.4,58.5,96,41.1,34.6,58.9,0,3,39.58
New York,2023-01-29,24.0,73.7,29,33.3,57.9,54.7,0,6,42.17
New York,2023-01-30,9.4,83.4,39,25.8,61.4,67.4,1,0,51.69
New York,2023-01-31,-5.9,54.8,48,26.0,89.5,50.8,1,1,59.03
New York,2023-02-01,31.5,50.6,77,36.1,50.3,60.3,1,0,48.46
New York,2023-02-02,18.4,65.6,66,37.0,36.5,64.4,1,4,48.64
New York,2023-02-03,22.2,58.8,49,32.1,56.2,62.2,1,0,44.59
New York,2023-02-04,27.6,79.5,61,40.7,55.6,62.4,0,4,47.01
New York,2023-02-05,30.2,59.1,64,34.4,61.7,63.5,0,4,45.88
New York,2023-02-06,15.8,74.5,49,42.8,60.9,54.9,1,5,55.33
New York,2023-02-07,29.6,53.0,69,41.3,54.5,58.0,1,3,51.94
New York,2023-02-08,24.9,78.6,45,37.6,73.4,62.4,1,0,52.42
New York,2023-02-09,8.4,50.9,39,34.3,69.7,65.4,1,2,54.17
New York,2023-02-10,17.6,65.0,40,35.6,84.1,61.9,1,3,55.4
New York,2023-02-11,17.3,69.6,55,43.9,72.1,58.3,0,5,49.68
New York,2023-02-12,19.1,74.8,24,42.3,62.6,51.2,0,2,41.85
New York,2023-02-13,22.7,83.8,73,31.4,51.5,60.5,1,5,51.18
New York,2023-02-14,29.4,60.3,20,46.8,63.3,64.2,1,1,52.83
New York,2023-02-15,20.0,65.5,44,41.0,49.0,57.3,1,2,47.54
New York,2023-02-16,28.5,80.4,37,33.6,68.6,68.2,1,4,55.93
New York,2023-02-17,18.0,74.7,66,46.9,50.5,61.4,1,1,52.23
New York,2023-02-18,28.5,47.4,30,19.7,61.0,61.6,0,6,39.37
New York,2023-02-19,19.9,73.0,48,22.7,64.9,60.0,0,3,39.94
New York,2023-02-20,11.2,69.9,68,33.7,95.8,56.4,1,1,59.07
New York,2023-02-21,13.5,59.4,25,34.5,65.9,46.6,1,1,47.42
New York,2023-02-22,24.1,77.0,71,31.0,54.0,60.9,1,1,48.09
New York,2023-02-23,39.0,61.9,41,18.5,77.8,53.1,1,3,52.61
New York,2023-02-24,32.2,40.4,37,28.8,62.2,57.8,1,1,46.46
New York,2023-02-25,13.8,61.5,58,43.3,80.8,61.3,0,1,49.18
New York,2023-02-26,39.0,75.1,45,48.7,59.2,54.7,0,3,51.07
New York,2023-02-27,20.2,66.3,46,34.1,58.1,54.9,1,1,46.29
New York,2023-02-28,13.4,59.5,20,41.5,70.9,57.6,1,3,53.76
New York,2023-03-01,24.2,67.1,94,49.0,79.0,54.2,1,1,57.14
New York,2023-03-02,22.2,37.6,44,33.5,42.1,62.0,1,1,40.61
New York,2023-03-03,42.3,48.9,51,32.7,56.0,61.8,1,4,55.08
New York,2023-03-04,24.6,63.0,61,31.2,66.3,57.2,0,4,42.76
New York,2023-03-05,17.5,61.8,64,44.3,31.9,59.8,0,4,40.81
New York,2023-03-06,5.0,61.5,54,49.4,69.9,56.9,1,3,60.9
New York,2023-03-07,8.2,76.4,60,32.7,74.5,69.4,1,2,59.09
New York,2023-03-08,11.3,56.8,84,39.2,59.8,62.1,1,1,53.84
New York,2023-03-09,30.3,60.6,45,31.6,79.5,62.9,1,3,54.9
New York,2023-03-10,11.5,59.9,57,42.7,51.6,46.4,1,2,50.08
New York,2023-03-11,39.6,66.3,56,41.8,72.2,59.1,0,3,52.45
New York,2023-03-12,32.7,59.9,34,35.0,65.8,63.5,0,2,44.75
New York,2023-03-13,28.6,59.2,71,17.4,61.6,61.1,1,2,46.71
New York,2023-03-14,17.9,50.0,49,33.8,24.5,57.7,1,3,41.07
New York,2023-03-15,17.8,53.9,105,36.5,65.2,57.9,1,2,52.38
New York,2023-03-16,40.6,53.9,81,15.0,33.8,51.8,1,1,42.81
New York,2023-03-17,22.3,62.5,51,40.2,77.5,51.4,1,1,50.49
New York,2023-03-18,23.9,57.3,52,36.2,54.4,54.4,0,1,37.47
New York,2023-03-19,20.8,63.7,64,27.6,59.7,56.9,0,4,40.03
New York,2023-03-20,11.4,71.2,65,33.5,69.9,51.7,1,3,54.59
New York,2023-03-21,14.4,50.9,22,40.8,45.8,66.8,1,2,48.24
New York,2023-03-22,27.8,64.7,47,46.8,97.3,61.4,1,1,60.26
New York,2023-03-23,9.7,66.0,21,40.4,95.1,61.6,1,2,60.37
New York,2023-03-24,22.0,74.8,87,44.1,37.4,51.6,1,1,46.54
New York,2023-03-25,24.1,57.7,57,30.0,55.8,51.0,0,3,37.5
New York,2023-03-26,12.4,91.3,63,37.5,52.1,61.5,0,0,44.85
New York,2023-03-27,24.9,49.8,53,30.7,39.7,62.9,1,1,42.23
New York,2023-03-28,21.4,61.7,93,35.6,41.6,56.0,1,3,46.67
New York,2023-03-29,5.9,76.4,27,34.2,81.0,58.6,1,5,60.66
New York,2023-03-30,7.8,64.4,70,37.1,71.7,56.9,1,5,59.5
New York,2023-03-31,8.8,70.0,33,46.2,61.1,58.7,1,2,56.03
New York,2023-04-01,28.3,50.1,59,43.1,66.2,63.3,0,6,48.88
New York,2023-04-02,27.4,68.1,20,21.9,51.9,62.0,0,1,35.22
New York,2023-04-03,12.0,54.5,20,26.3,48.9,61.4,1,2,45.08
New York,2023-04-04,27.9,62.9,53,41.4,48.2,59.9,1,4,51.32
New York,2023-04-05,7.4,65.7,43,31.2,73.3,54.9,1,1,53.43
New York,2023-04-06,17.0,53.3,69,44.4,70.2,56.1,1,1,52.91
New York,2023-04-07,38.9,74.4,37,37.3,59.6,60.9,1,0,54.07
New York,2023-04-08,22.3,68.3,67,52.1,62.3,54.0,0,3,46.27
New York,2023-04-09,15.9,67.2,53,45.5,100.0,55.3,0,4,54.6
New York,2023-04-10,21.9,68.1,72,39.4,71.1,61.6,1,5,55.66
New York,2023-04-11,17.0,56.7,40,40.0,71.3,60.0,1,1,51.44
New York,2023-04-12,26.5,50.1,54,36.7,76.3,51.2,1,2,50.72
New York,2023-04-13,22.0,80.8,52,38.2,74.1,58.9,1,0,51.53
New York,2023-04-14,21.4,69.1,50,32.8,59.6,58.9,1,2,47.73
New York,2023-04-15,15.5,68.8,85,35.5,56.7,67.4,0,4,47.15
New York,2023-04-16,25.2,74.9,76,46.5,61.7,52.3,0,4,47.39
New York,2023-04-17,19.6,67.4,49,38.8,46.2,65.2,1,3,49.18
New York,2023-04-18,22.7,69.6,65,39.6,74.6,64.6,1,0,52.85
New York,2023-04-19,30.0,69.9,33,35.6,70.6,54.2,1,1,51.27
New York,2023-04-20,14.1,64.9,22,40.5,55.5,63.0,1,1,50.06
New York,2023-04-21,18.6,58.1,103,32.0,80.4,52.5,1,2,53.24
New York,2023-04-22,12.3,64.5,53,26.7,87.6,62.4,0,1,46.82
New York,2023-04-23,21.7,44.6,49,30.5,50.0,56.6,0,4,35.84
New York,2023-04-24,22.2,57.0,90,38.9,70.9,61.4,1,3,53.61
New York,2023-04-25,20.9,74.5,50,46.5,71.0,68.9,1,1,55.51
New York,2023-04-26,11.7,59.7,66,45.0,100.0,57.5,1,4,64.38
New York,2023-04-27,24.9,54.8,48,22.7,71.0,61.2,1,2,47.05
New York,2023-04-28,7.5,85.0,51,50.2,40.5,55.1,1,2,55.35
New York,2023-04-29,31.8,78.8,41,39.2,72.4,59.3,0,1,47.54
New York,2023-04-30,19.8,76.7,64,33.0,76.6,45.0,0,2,42.9
New York,2023-05-01,23.0,64.1,70,26.0,81.6,54.5,1,0,48.48
New York,2023-05-02,19.6,69.8,55,25.7,79.9,55.5,1,1,49.47
New York,2023-05-03,32.0,73.5,47,33.2,60.2,68.4,1,4,55.36
New York,2023-05-04,17.4,59.5,54,30.5,63.0,52.8,1,3,48.44
New York,2023-05-05,21.1,69.5,51,44.7,33.5,72.7,1,1,47.64
New York,2023-05-06,12.5,71.4,59,30.8,81.1,57.2,0,5,49.95
New York,2023-05-07,27.7,68.1,45,36.5,68.0,60.2,0,3,45.21
New York,2023-05-08,13.8,68.0,74,34.0,70.1,65.2,1,3,56.23
New York,2023-05-09,28.4,70.7,68,41.1,84.3,56.7,1,0,56.33
New York,2023-05-10,18.6,65.2,32,24.5,88.9,53.8,1,2,50.21
New York,2023-05-11,9.7,59.0,57,30.4,81.3,65.7,1,3,57.51
New York,2023-05-12,16.4,64.8,30,23.7,86.7,48.9,1,6,52.83
New York,2023-05-13,26.1,67.8,56,35.5,53.7,56.6,0,2,40.47
New York,2023-05-14,27.8,58.8,20,39.2,87.7,61.9,0,2,47.2
New York,2023-05-15,24.4,55.3,56,25.3,56.0,59.6,1,3,45.55
New York,2023-05-16,21.8,78.6,56,32.6,66.8,60.7,1,3,51.4
New York,2023-05-17,8.8,82.5,29,30.5,54.2,62.5,1,3,52.82
New York,2023-05-18,13.3,86.5,30,38.5,74.5,60.1,1,1,55.65
New York,2023-05-19,20.4,63.5,73,53.7,56.6,51.2,1,3,53.44
New York,2023-05-20,13.6,81.4,87,31.6,73.5,66.1,0,1,48.87
New York,2023-05-21,15.3,54.9,41,26.2,65.5,54.2,0,2,38.8
New York,2023-05-22,28.2,66.1,63,52.9,47.4,51.8,1,5,54.77
New York,2023-05-23,20.8,58.2,34,41.0,51.3,58.4,1,2,46.65
New York,2023-05-24,28.7,71.1,32,33.5,83.2,58.7,1,2,54.37
New York,2023-05-25,15.8,68.6,64,40.7,48.9,53.6,1,1,48.92
